Target;PTWD;FTWD;Acc.Train;Acc.CV
xwtri;1;0.1;59.75;50.05
xwbi-rc;1;0.1;64.48;53.17
xwtri;1;0.01;59.75;50.05
xwbi-rc;1;0.01;64.48;53.17
xwtri;1;0.001;59.75;50.05
xwbi-rc;1;0.001;64.48;53.17
xwtri;1;0.0001;59.75;50.05
xwbi-rc;1;0.0001;64.48;53.17
xwtri;1;0.00001;59.75;50.05
xwbi-rc;1;0.00001;64.48;53.17
xwtri;0.1;0.1;59.75;50.05
xwbi-rc;0.1;0.1;64.48;53.17
xwtri;0.1;0.01;59.75;50.05
xwbi-rc;0.1;0.01;64.48;53.17
xwtri;0.1;0.001;59.75;50.05
xwbi-rc;0.1;0.001;64.48;53.17
xwtri;0.1;0.0001;59.75;50.05
xwbi-rc;0.1;0.0001;64.48;53.17
xwtri;0.1;0.00001;59.75;50.05
xwbi-rc;0.1;0.00001;64.48;53.17
